学生番号,年度,学期,科目名,単位数,成績,GP, , 
21038,2022,前期,Reading & WritingⅢ,1,A,3,,
21038,2022,前期,Listening & SpeakingⅢ,1,A,3,,
21038,2022,前期,計算機構成論Ⅱ,2,B,2,,
21038,2022,前期,情報処理技術Ⅰ,2,C,1,,
21038,2022,前期,ハードウェア設計Ⅰ,2,C,1,,
21038,2022,前期,心理学概説,2,A,3,,
21038,2022,前期,離散数学Ⅲ,2,A,3,,
21038,2022,前期,日本語表現法,2,S,4,,
21038,2022,前期,微分積分Ⅱ,2,C,1,,
21038,2022,前期,組込みソフトウェア演習,2,S,4,,
21038,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21038,2022,前期,ＡＩプログラミング演習,2,A,3,,
21038,2022,後期,離散数学Ⅳ,2,A,3,,
21038,2022,後期,コンピュータネットワーク,2,A,3,,
21038,2022,後期,データ構造とアルゴリズムⅠ,2,A,3,,
21038,2022,後期,プログラミング言語とコンパイラ,2,B,2,,
21038,2022,後期,Reading & WritingⅣ,1,A,3,,
21038,2022,後期,Listening & SpeakingⅣ,1,A,3,,
21038,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21038,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21038,2022,後期,世界の歴史,2,B,2,,
21038,2022,後期,クラウドプログラミング演習,2,A,3,,
21038,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21038,2021,前期,キャリア形成基礎論,2,C,1,,
21038,2021,前期,フランス語Ⅰ,1,S,4,,
21038,2021,前期,Reading & WritingⅠ,1,S,4,,
21038,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21038,2021,前期,基礎ゼミナール,2,S,4,,
21038,2021,前期,情報リテラシー,2,S,4,,
21038,2021,前期,プログラミング入門,2,S,4,,
21038,2021,前期,基礎数学,2,S,4,,
21038,2021,前期,線形代数Ⅰ,2,S,4,,
21038,2021,前期,離散数学Ⅰ,2,S,4,,
21038,2021,前期,数理的教養Ⅰ,2,A,3,,
21038,2021,前期,電気工学概論,2,B,2,,
21038,2021,後期,フランス語Ⅱ,1,S,4,,
21038,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21038,2021,後期,Reading & WritingⅡ,1,S,4,,
21038,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21038,2021,後期,情報科学基礎演習,2,S,4,,
21038,2021,後期,計算機構成論Ⅰ,2,S,4,,
21038,2021,後期,線形代数Ⅱ,2,S,4,,
21038,2021,後期,微分積分Ⅰ,2,B,2,,
21038,2021,後期,基礎物理,2,B,2,,
21038,2021,後期,離散数学Ⅱ,2,S,4,,
21038,2021,後期,解析幾何学,2,S,4,,
21038,2021,後期,機械工学概論,2,S,4,,
21038,2021,後期,モバイルプログラミング演習,2,S,4,,
21039,2022,前期,Four SkillsⅠ,2,S,4,,
21039,2022,前期,計算機構成論Ⅱ,2,A,3,,
21039,2022,前期,現代自然科学,2,S,4,,
21039,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21039,2022,前期,情報理論・確率論,2,A,3,,
21039,2022,前期,離散数学Ⅲ,2,A,3,,
21039,2022,前期,日本語表現法,2,A,3,,
21039,2022,前期,微分積分Ⅱ,2,A,3,,
21039,2022,前期,Labo TrainingⅠ,1,S,4,,
21039,2022,前期,組込みソフトウェア演習,2,S,4,,
21039,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21039,2022,前期,確率統計,2,A,3,,
21039,2022,前期,ＡＩプログラミング演習,2,A,3,,
21039,2022,後期,Four SkillsⅡ,2,S,4,,
21039,2022,後期,離散数学Ⅳ,2,S,4,,
21039,2022,後期,コンピュータグラフィックス基礎,2,A,3,,
21039,2022,後期,コンピュータネットワーク,2,S,4,,
21039,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21039,2022,後期,プログラミング言語とコンパイラ,2,A,3,,
21039,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21039,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21039,2022,後期,技術者倫理,2,S,4,,
21039,2022,後期,統計学,2,S,4,,
21039,2022,後期,Labo TrainingⅡ,1,S,4,,
21039,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21039,2021,前期,キャリア形成基礎論,2,A,3,,
21039,2021,前期,フランス語Ⅰ,1,S,4,,
21039,2021,前期,Reading & WritingⅠ,1,S,4,,
21039,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21039,2021,前期,基礎ゼミナール,2,S,4,,
21039,2021,前期,情報リテラシー,2,S,4,,
21039,2021,前期,プログラミング入門,2,S,4,,
21039,2021,前期,基礎数学,2,S,4,,
21039,2021,前期,線形代数Ⅰ,2,S,4,,
21039,2021,前期,離散数学Ⅰ,2,S,4,,
21039,2021,前期,総合講座Ａ,2,A,3,,
21039,2021,前期,世界の歴史,2,D,0,,
21039,2021,前期,電気工学概論,2,A,3,,
21039,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21039,2021,後期,Reading & WritingⅡ,1,S,4,,
21039,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21039,2021,後期,情報科学基礎演習,2,S,4,,
21039,2021,後期,計算機構成論Ⅰ,2,S,4,,
21039,2021,後期,線形代数Ⅱ,2,S,4,,
21039,2021,後期,中国語Ⅰ,1,S,4,,
21039,2021,後期,微分積分Ⅰ,2,A,3,,
21039,2021,後期,基礎物理,2,S,4,,
21039,2021,後期,離散数学Ⅱ,2,S,4,,
21039,2021,後期,数理的教養Ⅰ,2,S,4,,
21039,2021,後期,機械工学概論,2,S,4,,
21039,2021,後期,モバイルプログラミング演習,2,S,4,,
21040,2022,前期,スポーツ科学演習,2,S,4,,
21040,2022,前期,Reading & WritingⅢ,1,S,4,,
21040,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21040,2022,前期,計算機構成論Ⅱ,2,S,4,,
21040,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21040,2022,前期,情報理論・確率論,2,S,4,,
21040,2022,前期,離散数学Ⅲ,2,S,4,,
21040,2022,前期,日本語表現法,2,A,3,,
21040,2022,前期,微分積分Ⅱ,2,B,2,,
21040,2022,前期,実用国語Ⅰ（文章力）,2,S,4,,
21040,2022,前期,組込みソフトウェア演習,2,S,4,,
21040,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21040,2022,前期,ＡＩプログラミング演習,2,S,4,,
21040,2022,後期,離散数学Ⅳ,2,S,4,,
21040,2022,後期,コンピュータネットワーク,2,S,4,,
21040,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21040,2022,後期,プログラミング言語とコンパイラ,2,S,4,,
21040,2022,後期,Reading & WritingⅣ,1,S,4,,
21040,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21040,2022,後期,韓国語Ⅰ,1,S,4,,
21040,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21040,2022,後期,ハードウェア実験Ⅰ,2,S,4,,
21040,2022,後期,技術者倫理,2,S,4,,
21040,2022,後期,統計学,2,S,4,,
21040,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21040,2021,前期,キャリア形成基礎論,2,A,3,,
21040,2021,前期,Reading & WritingⅠ,1,S,4,,
21040,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21040,2021,前期,基礎ゼミナール,2,S,4,,
21040,2021,前期,情報リテラシー,2,S,4,,
21040,2021,前期,プログラミング入門,2,S,4,,
21040,2021,前期,基礎数学,2,S,4,,
21040,2021,前期,線形代数Ⅰ,2,S,4,,
21040,2021,前期,離散数学Ⅰ,2,A,3,,
21040,2021,前期,数理的教養Ⅰ,2,A,3,,
21040,2021,前期,韓国語会話Ⅰ,1,S,4,,
21040,2021,前期,世界の歴史,2,D,0,,
21040,2021,前期,電気工学概論,2,A,3,,
21040,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21040,2021,後期,Reading & WritingⅡ,1,S,4,,
21040,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21040,2021,後期,情報科学基礎演習,2,S,4,,
21040,2021,後期,計算機構成論Ⅰ,2,S,4,,
21040,2021,後期,線形代数Ⅱ,2,S,4,,
21040,2021,後期,微分積分Ⅰ,2,S,4,,
21040,2021,後期,基礎物理,2,B,2,,
21040,2021,後期,離散数学Ⅱ,2,S,4,,
21040,2021,後期,実践力育成演習Ｂ,2,S,4,,
21040,2021,後期,モバイルプログラミング演習,2,S,4,,
21041,2022,前期,Reading & WritingⅢ,1,B,2,,
21041,2022,前期,Listening & SpeakingⅢ,1,B,2,,
21041,2022,前期,計算機構成論Ⅱ,2,A,3,,
21041,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21041,2022,前期,情報理論・確率論,2,S,4,,
21041,2022,前期,離散数学Ⅲ,2,S,4,,
21041,2022,前期,日本語表現法,2,A,3,,
21041,2022,前期,微分積分Ⅱ,2,S,4,,
21041,2022,前期,組込みソフトウェア演習,2,S,4,,
21041,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21041,2022,前期,ＡＩプログラミング演習,2,B,2,,
21041,2022,後期,グラフィックスプログラミング演習,2,A,3,,
21041,2022,後期,離散数学Ⅳ,2,S,4,,
21041,2022,後期,コンピュータネットワーク,2,A,3,,
21041,2022,後期,データ構造とアルゴリズムⅠ,2,A,3,,
21041,2022,後期,プログラミング言語とコンパイラ,2,A,3,,
21041,2022,後期,Reading & WritingⅣ,1,B,2,,
21041,2022,後期,Listening & SpeakingⅣ,1,B,2,,
21041,2022,後期,ハードウェア設計Ⅱ,2,A,3,,
21041,2022,後期,ハードウェア実験Ⅰ,2,S,4,,
21041,2022,後期,技術者倫理,2,S,4,,
21041,2022,後期,哲学の世界,2,B,2,,
21041,2022,後期,統計学,2,B,2,,
21041,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21041,2021,前期,キャリア形成基礎論,2,C,1,,
21041,2021,前期,Reading & WritingⅠ,1,S,4,,
21041,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21041,2021,前期,基礎ゼミナール,2,S,4,,
21041,2021,前期,情報リテラシー,2,A,3,,
21041,2021,前期,プログラミング入門,2,S,4,,
21041,2021,前期,基礎数学,2,S,4,,
21041,2021,前期,線形代数Ⅰ,2,A,3,,
21041,2021,前期,日本の歴史,2,D,0,,
21041,2021,前期,離散数学Ⅰ,2,B,2,,
21041,2021,前期,数理的教養Ⅱ,2,A,3,,
21041,2021,前期,韓国語会話Ⅰ,1,A,3,,
21041,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21041,2021,後期,Reading & WritingⅡ,1,A,3,,
21041,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21041,2021,後期,韓国語Ⅰ,1,A,3,,
21041,2021,後期,情報科学基礎演習,2,S,4,,
21041,2021,後期,計算機構成論Ⅰ,2,B,2,,
21041,2021,後期,線形代数Ⅱ,2,S,4,,
21041,2021,後期,微分積分Ⅰ,2,A,3,,
21041,2021,後期,基礎物理,2,A,3,,
21041,2021,後期,離散数学Ⅱ,2,S,4,,
21041,2021,後期,数理的教養Ⅰ,2,B,2,,
21041,2021,後期,世界の歴史,2,D,0,,
21041,2021,後期,モバイルプログラミング演習,2,A,3,,
21042,2022,前期,ドイツ語Ⅰ,1,C,1,,
21042,2022,前期,フランス語Ⅰ,1,D,0,,
21042,2022,前期,Reading & WritingⅢ,1,A,3,,
21042,2022,前期,Listening & SpeakingⅢ,1,B,2,,
21042,2022,前期,韓国語Ⅰ,1,D,0,,
21042,2022,前期,計算機構成論Ⅱ,2,D,0,,
21042,2022,前期,人権・同和問題,2,D,0,,
21042,2022,前期,日本国憲法,2,C,1,,
21042,2022,前期,文化人類学,2,A,3,,
21042,2022,前期,韓国語会話Ⅰ,1,C,1,,
21042,2022,前期,ドイツ語会話Ⅰ,1,C,1,,
21042,2022,前期,フランス語会話Ⅰ,1,D,0,,
21042,2022,前期,世界の歴史,2,E,0,,
21042,2022,前期,プログラミング基礎Ⅱ,2,C,1,,
21042,2022,前期,ＡＩプログラミング演習,2,C,1,,
21042,2022,後期,オペレーティングシステム,2,D,0,,
21042,2022,後期,コンピュータグラフィックス基礎,2,D,0,,
21042,2022,後期,データ構造とアルゴリズムⅠ,2,C,1,,
21042,2022,後期,プログラミング言語とコンパイラ,2,C,1,,
21042,2022,後期,Reading & WritingⅣ,1,C,1,,
21042,2022,後期,Listening & SpeakingⅣ,1,C,1,,
21042,2022,後期,モデリングとシミュレーション,2,B,2,,
21042,2022,後期,計算機構成論Ⅰ,2,A,3,,
21042,2022,後期,微分積分Ⅰ,2,C,1,,
21042,2022,後期,基礎物理,2,C,1,,
21042,2022,後期,数理的教養Ⅱ,2,A,3,,
21042,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21042,2021,前期,キャリア形成基礎論,2,E,0,,
21042,2021,前期,Reading & WritingⅠ,1,B,2,,
21042,2021,前期,Listening & SpeakingⅠ,1,B,2,,
21042,2021,前期,基礎ゼミナール,2,A,3,,
21042,2021,前期,健康学,2,C,1,,
21042,2021,前期,情報リテラシー,2,A,3,,
21042,2021,前期,プログラミング入門,2,A,3,,
21042,2021,前期,基礎数学,2,A,3,,
21042,2021,前期,中国語Ⅰ,1,C,1,,
21042,2021,前期,日本の歴史,2,C,1,,
21042,2021,前期,実用国語Ⅱ（国語力）,2,B,2,,
21042,2021,前期,中国語会話Ⅰ,1,B,2,,
21042,2021,前期,世界の歴史,2,D,0,,
21042,2021,前期,文学の世界,2,B,2,,
21042,2021,後期,プログラミング基礎Ⅰ,2,A,3,,
21042,2021,後期,Reading & WritingⅡ,1,D,0,,
21042,2021,後期,Listening & SpeakingⅡ,1,B,2,,
21042,2021,後期,情報科学基礎演習,2,A,3,,
21042,2021,後期,計算機構成論Ⅰ,2,D,0,,
21042,2021,後期,現代の政治,2,B,2,,
21042,2021,後期,哲学の世界,2,E,0,,
21042,2021,後期,日本国憲法,2,D,0,,
21042,2021,後期,数理的教養Ⅰ,2,A,3,,
21042,2021,後期,実践力育成演習Ｂ,2,A,3,,
21042,2021,後期,モバイルプログラミング演習,2,A,3,,
21043,2022,後期,離散数学Ⅳ,2,B,2,,
21043,2022,後期,コンピュータグラフィックス基礎,2,C,1,,
21043,2022,後期,コンピュータネットワーク,2,B,2,,
21043,2022,後期,データ構造とアルゴリズムⅠ,2,A,3,,
21043,2022,後期,プログラミング言語とコンパイラ,2,B,2,,
21043,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21043,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21043,2022,後期,技術者倫理,2,S,4,,
21043,2022,後期,哲学の世界,2,A,3,,
21043,2022,後期,統計学,2,A,3,,
21043,2022,後期,日本の歴史,2,C,1,,
21043,2022,後期,基礎物理,2,D,0,,
21043,2022,後期,クラウドプログラミング演習,2,A,3,,
21043,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21043,2021,前期,Four SkillsⅠ,2,S,4,,
21043,2021,前期,キャリア形成基礎論,2,C,1,,
21043,2021,前期,ドイツ語Ⅰ,1,B,2,,
21043,2021,前期,基礎ゼミナール,2,S,4,,
21043,2021,前期,情報リテラシー,2,S,4,,
21043,2021,前期,プログラミング入門,2,S,4,,
21043,2021,前期,基礎数学,2,A,3,,
21043,2021,前期,線形代数Ⅰ,2,S,4,,
21043,2021,前期,離散数学Ⅰ,2,B,2,,
21043,2021,前期,実用国語Ⅱ（国語力）,2,B,2,,
21043,2021,前期,Labo TrainingⅠ,1,S,4,,
21043,2021,前期,世界の歴史,2,B,2,,
21043,2021,後期,Domestic Job Training,4,A,3,,
21043,2021,後期,Four SkillsⅡ,2,S,4,,
21043,2021,後期,ドイツ語Ⅱ,1,S,4,,
21043,2021,後期,プログラミング基礎Ⅰ,2,C,1,,
21043,2021,後期,情報科学基礎演習,2,S,4,,
21043,2021,後期,計算機構成論Ⅰ,2,A,3,,
21043,2021,後期,線形代数Ⅱ,2,S,4,,
21043,2021,後期,微分積分Ⅰ,2,C,1,,
21043,2021,後期,離散数学Ⅱ,2,S,4,,
21043,2021,後期,Labo TrainingⅡ,1,S,4,,
21043,2021,後期,モバイルプログラミング演習,2,S,4,,
21044,2022,前期,Reading & WritingⅢ,1,A,3,,
21044,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21044,2022,前期,計算機構成論Ⅱ,2,A,3,,
21044,2022,前期,情報処理技術Ⅰ,2,S,4,,
21044,2022,前期,ハードウェア設計Ⅰ,2,A,3,,
21044,2022,前期,情報理論・確率論,2,A,3,,
21044,2022,前期,離散数学Ⅲ,2,S,4,,
21044,2022,前期,日本語表現法,2,B,2,,
21044,2022,前期,微分積分Ⅱ,2,B,2,,
21044,2022,前期,組込みソフトウェア演習,2,S,4,,
21044,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21044,2022,前期,確率統計,2,A,3,,
21044,2022,前期,ＡＩプログラミング演習,2,S,4,,
21044,2022,後期,離散数学Ⅳ,2,S,4,,
21044,2022,後期,コンピュータネットワーク,2,S,4,,
21044,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21044,2022,後期,Reading & WritingⅣ,1,A,3,,
21044,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21044,2022,後期,ハードウェア設計Ⅱ,2,A,3,,
21044,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21044,2022,後期,技術者倫理,2,S,4,,
21044,2022,後期,統計学,2,A,3,,
21044,2022,後期,クラウドプログラミング演習,2,A,3,,
21044,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21044,2021,前期,キャリア形成基礎論,2,C,1,,
21044,2021,前期,Reading & WritingⅠ,1,S,4,,
21044,2021,前期,Listening & SpeakingⅠ,1,S,4,,
21044,2021,前期,基礎ゼミナール,2,S,4,,
21044,2021,前期,情報リテラシー,2,A,3,,
21044,2021,前期,プログラミング入門,2,S,4,,
21044,2021,前期,基礎数学,2,A,3,,
21044,2021,前期,線形代数Ⅰ,2,A,3,,
21044,2021,前期,哲学の世界,2,C,1,,
21044,2021,前期,離散数学Ⅰ,2,B,2,,
21044,2021,前期,数理的教養Ⅰ,2,B,2,,
21044,2021,前期,数理的教養Ⅱ,2,B,2,,
21044,2021,前期,実用国語Ⅱ（国語力）,2,B,2,,
21044,2021,前期,地理の世界,2,S,4,,
21044,2021,後期,プログラミング基礎Ⅰ,2,A,3,,
21044,2021,後期,Reading & WritingⅡ,1,A,3,,
21044,2021,後期,Listening & SpeakingⅡ,1,A,3,,
21044,2021,後期,情報科学基礎演習,2,S,4,,
21044,2021,後期,計算機構成論Ⅰ,2,A,3,,
21044,2021,後期,微分積分Ⅰ,2,B,2,,
21044,2021,後期,基礎物理,2,B,2,,
21044,2021,後期,離散数学Ⅱ,2,S,4,,
21044,2021,後期,解析幾何学,2,A,3,,
21044,2021,後期,モバイルプログラミング演習,2,S,4,,
21045,2022,前期,Reading & WritingⅢ,1,S,4,,
21045,2022,前期,Listening & SpeakingⅢ,1,B,2,,
21045,2022,前期,計算機構成論Ⅱ,2,S,4,,
21045,2022,前期,現代の政治,2,S,4,,
21045,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21045,2022,前期,情報理論・確率論,2,S,4,,
21045,2022,前期,離散数学Ⅲ,2,S,4,,
21045,2022,前期,日本語表現法,2,A,3,,
21045,2022,前期,微分積分Ⅱ,2,A,3,,
21045,2022,前期,組込みソフトウェア演習,2,S,4,,
21045,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21045,2022,前期,ＡＩプログラミング演習,2,S,4,,
21045,2022,後期,離散数学Ⅳ,2,A,3,,
21045,2022,後期,コンピュータネットワーク,2,A,3,,
21045,2022,後期,データ構造とアルゴリズムⅠ,2,S,4,,
21045,2022,後期,プログラミング言語とコンパイラ,2,S,4,,
21045,2022,後期,Reading & WritingⅣ,1,S,4,,
21045,2022,後期,Listening & SpeakingⅣ,1,S,4,,
21045,2022,後期,ハードウェア設計Ⅱ,2,S,4,,
21045,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21045,2022,後期,技術者倫理,2,S,4,,
21045,2022,後期,統計学,2,S,4,,
21045,2022,後期,数理的教養Ⅲ,2,A,3,,
21045,2022,後期,クラウドプログラミング演習,2,S,4,,
21045,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21045,2021,前期,キャリア形成基礎論,2,C,1,,
21045,2021,前期,Reading & WritingⅠ,1,A,3,,
21045,2021,前期,Listening & SpeakingⅠ,1,B,2,,
21045,2021,前期,基礎ゼミナール,2,S,4,,
21045,2021,前期,情報リテラシー,2,S,4,,
21045,2021,前期,プログラミング入門,2,S,4,,
21045,2021,前期,基礎数学,2,S,4,,
21045,2021,前期,線形代数Ⅰ,2,S,4,,
21045,2021,前期,中国語Ⅰ,1,S,4,,
21045,2021,前期,離散数学Ⅰ,2,A,3,,
21045,2021,前期,数理的教養Ⅰ,2,S,4,,
21045,2021,前期,中国語会話Ⅰ,1,S,4,,
21045,2021,前期,電気工学概論,2,A,3,,
21045,2021,後期,プログラミング基礎Ⅰ,2,S,4,,
21045,2021,後期,Reading & WritingⅡ,1,S,4,,
21045,2021,後期,Listening & SpeakingⅡ,1,A,3,,
21045,2021,後期,情報科学基礎演習,2,S,4,,
21045,2021,後期,計算機構成論Ⅰ,2,S,4,,
21045,2021,後期,線形代数Ⅱ,2,S,4,,
21045,2021,後期,微分積分Ⅰ,2,A,3,,
21045,2021,後期,基礎物理,2,A,3,,
21045,2021,後期,離散数学Ⅱ,2,S,4,,
21045,2021,後期,数理的教養Ⅱ,2,S,4,,
21045,2021,後期,実践力育成演習Ａ,2,S,4,,
21045,2021,後期,モバイルプログラミング演習,2,S,4,,
21046,2022,前期,ゲームプログラミング演習,2,B,2,,
21046,2022,前期,Reading & WritingⅢ,1,B,2,,
21046,2022,前期,Listening & SpeakingⅢ,1,A,3,,
21046,2022,前期,計算機構成論Ⅱ,2,S,4,,
21046,2022,前期,現代の経営,2,S,4,,
21046,2022,前期,現代の政治,2,A,3,,
21046,2022,前期,情報処理技術Ⅰ,2,C,1,,
21046,2022,前期,ハードウェア設計Ⅰ,2,B,2,,
21046,2022,前期,情報理論・確率論,2,A,3,,
21046,2022,前期,離散数学Ⅲ,2,S,4,,
21046,2022,前期,プログラミング基礎Ⅱ,2,A,3,,
21046,2022,前期,ＡＩプログラミング演習,2,A,3,,
21046,2022,後期,オペレーティングシステム,2,D,0,,
21046,2022,後期,離散数学Ⅳ,2,B,2,,
21046,2022,後期,コンピュータネットワーク,2,D,0,,
21046,2022,後期,データ構造とアルゴリズムⅠ,2,B,2,,
21046,2022,後期,プログラミング言語とコンパイラ,2,A,3,,
21046,2022,後期,Reading & WritingⅣ,1,A,3,,
21046,2022,後期,Listening & SpeakingⅣ,1,A,3,,
21046,2022,後期,ハードウェア設計Ⅱ,2,C,1,,
21046,2022,後期,ハードウェア実験Ⅰ,2,A,3,,
21046,2022,後期,日本の歴史,2,S,4,,
21046,2022,後期,情報処理技術Ⅱ,2,C,1,,
21046,2022,後期,データ構造とアルゴリズムⅠ演習,2,S,4,,
21046,2021,前期,キャリア形成基礎論,2,B,2,,
21046,2021,前期,スポーツ科学演習,2,S,4,,
21046,2021,前期,Reading & WritingⅠ,1,S,4,,
21046,2021,前期,Listening & SpeakingⅠ,1,A,3,,
21046,2021,前期,基礎ゼミナール,2,S,4,,
21046,2021,前期,情報リテラシー,2,A,3,,
21046,2021,前期,プログラミング入門,2,S,4,,
21046,2021,前期,基礎数学,2,B,2,,
21046,2021,前期,線形代数Ⅰ,2,A,3,,
21046,2021,前期,離散数学Ⅰ,2,B,2,,
21046,2021,前期,実践キャリア学修Ｂ,2,S,4,,
21046,2021,前期,電気工学概論,2,A,3,,
21046,2021,後期,プログラミング基礎Ⅰ,2,A,3,,
21046,2021,後期,Reading & WritingⅡ,1,S,4,,
21046,2021,後期,Listening & SpeakingⅡ,1,S,4,,
21046,2021,後期,韓国語Ⅰ,1,S,4,,
21046,2021,後期,情報科学基礎演習,2,S,4,,
21046,2021,後期,計算機構成論Ⅰ,2,B,2,,
21046,2021,後期,線形代数Ⅱ,2,A,3,,
21046,2021,後期,微分積分Ⅰ,2,C,1,,
21046,2021,後期,基礎物理,2,D,0,,
21046,2021,後期,離散数学Ⅱ,2,S,4,,
21046,2021,後期,韓国語会話Ⅰ,1,B,2,,
21046,2021,後期,解析幾何学,2,D,0,,
21046,2021,後期,モバイルプログラミング演習,2,S,4,,
21047,2022,前期,スポーツ科学演習,2,E,0,,
21047,2022,前期,Reading & WritingⅠ,1,B,2,,
21047,2022,前期,韓国語Ⅰ,1,D,0,,
21047,2022,前期,計算機構成論Ⅱ,2,D,0,,
21047,2022,前期,現代の政治,2,A,3,,
21047,2022,前期,日本の歴史,2,D,0,,
21047,2022,前期,日本の文化Ⅰ,2,B,2,,
21047,2022,前期,ベクトル解析,2,E,0,,
21047,2022,前期,プログラミング基礎Ⅱ,2,C,1,,
21047,2022,前期,ＡＩプログラミング演習,2,A,3,,
21047,2022,後期,グラフィックスプログラミング演習,2,D,0,,
21047,2022,後期,データ構造とアルゴリズムⅠ,2,D,0,,
21047,2022,後期,Reading & WritingⅢ,1,D,0,,
21047,2022,後期,ハードウェア設計Ⅱ,2,D,0,,
21047,2022,後期,ハードウェア実験Ⅰ,2,D,0,,
21047,2022,後期,統計学,2,D,0,,
21047,2022,後期,微分方程式,2,D,0,,
21047,2022,後期,基礎物理,2,D,0,,
21047,2022,後期,離散数学Ⅱ,2,D,0,,
21047,2022,後期,実用国語Ⅰ（文章力）,2,D,0,,
21047,2022,後期,データ構造とアルゴリズムⅠ演習,2,D,0,,
21047,2021,前期,キャリア形成基礎論,2,E,0,,
21047,2021,前期,韓国語Ⅰ,1,D,0,,
21047,2021,前期,基礎ゼミナール,2,A,3,,
21047,2021,前期,現代の政治,2,D,0,,
21047,2021,前期,情報リテラシー,2,C,1,,
21047,2021,前期,プログラミング入門,2,A,3,,
21047,2021,前期,基礎数学,2,B,2,,
21047,2021,前期,線形代数Ⅰ,2,B,2,,
21047,2021,前期,日本語初級Ⅰ,1,C,1,,
21047,2021,前期,日本語初級Ⅲ,1,C,1,,
21047,2021,前期,世界の歴史,2,E,0,,
21047,2021,前期,地理の世界,2,E,0,,
21047,2021,前期,日本の文化Ⅰ,2,D,0,,
21047,2021,後期,プログラミング基礎Ⅰ,2,B,2,,
21047,2021,後期,情報科学基礎演習,2,A,3,,
21047,2021,後期,計算機構成論Ⅰ,2,D,0,,
21047,2021,後期,日本の歴史,2,D,0,,
21047,2021,後期,基礎物理,2,D,0,,
21047,2021,後期,数理的教養Ⅱ,2,E,0,,
21047,2021,後期,日本語初級Ⅱ,1,A,3,,
21047,2021,後期,日本語初級Ⅳ,1,D,0,,
21047,2021,後期,科学の世界,2,E,0,,
21047,2021,後期,モバイルプログラミング演習,2,S,4,,
21048,2022,前期,Reading & WritingⅢ,1,A,3,,
21048,2022,前期,Listening & SpeakingⅢ,1,S,4,,
21048,2022,前期,教育課程論,0,S,4,,
21048,2022,前期,教育原理,0,S,4,,
21048,2022,前期,計算機構成論Ⅱ,2,S,4,,
21048,2022,前期,ハードウェア設計Ⅰ,2,S,4,,
21048,2022,前期,情報理論・確率論,2,S,4,,
21048,2022,前期,生徒指導論（進路指導を含む）,0,S,4,,
21048,2022,前期,離散数学Ⅲ,2,S,4,,
21048,2022,前期,日本語表現法,2,S,4,,
21048,2022,前期,微分積分Ⅱ,2,S,4,,
21048,2022,前期,組込みソフトウェア演習,2,S,4,,
21048,2022,前期,プログラミング基礎Ⅱ,2,S,4,,
21048,2022,前期,確率統計,2,S,4,,
21048,2022,前期,ＡＩプログラミング演習,2,S,4,,
21048,2022,後期,離散数学Ⅳ,2,S,4,,
21048,2022,後期,コンピュータネットワーク,2,S,4,,
